S	b_eq	b_neq	tangent_eq,	tangent_neq
0.698	0.842	2.000	0.842	1.684
0.699	0.843	2.000	0.843	1.687
0.700	0.844	2.000	0.845	1.689
0.701	0.846	2.000	0.846	1.692
0.702	0.847	2.000	0.847	1.694
0.703	0.848	2.000	0.848	1.696
0.704	0.849	2.000	0.849	1.699
0.705	0.851	2.000	0.851	1.701
0.706	0.852	2.000	0.852	1.704
0.707	0.853	2.000	0.853	1.706
0.708	0.854	2.000	0.854	1.709
0.709	0.855	2.000	0.855	1.711
0.710	0.857	2.000	0.857	1.713
0.711	0.858	2.000	0.858	1.716
0.712	0.859	2.000	0.859	1.718
0.713	0.860	2.000	0.860	1.721
0.714	0.861	2.000	0.862	1.723
0.715	0.863	2.000	0.863	1.725
0.716	0.864	2.000	0.864	1.728
0.717	0.865	2.000	0.865	1.730
0.718	0.866	2.000	0.866	1.733
0.719	0.867	2.000	0.868	1.735
0.720	0.868	2.000	0.869	1.738
0.721	0.869	2.000	0.870	1.740
0.722	0.871	2.000	0.871	1.742
0.723	0.872	2.000	0.872	1.745
0.724	0.873	2.000	0.874	1.747
0.725	0.874	2.000	0.875	1.750
0.726	0.875	2.000	0.876	1.752
0.727	0.876	2.000	0.877	1.754
0.728	0.877	2.000	0.878	1.757
0.729	0.878	2.000	0.880	1.759
0.730	0.879	2.000	0.881	1.762
0.731	0.880	2.000	0.882	1.764
0.732	0.882	2.000	0.883	1.767
0.733	0.883	2.000	0.884	1.769
0.734	0.884	2.000	0.886	1.771
0.735	0.885	2.000	0.887	1.774
0.736	0.886	2.000	0.888	1.776
0.737	0.887	2.000	0.889	1.779
0.738	0.888	2.000	0.891	1.781
0.739	0.889	2.000	0.892	1.783
0.740	0.890	2.000	0.893	1.786
0.741	0.891	2.000	0.894	1.788
0.742	0.892	2.000	0.895	1.791
0.743	0.893	2.000	0.897	1.793
0.744	0.894	2.000	0.898	1.796
0.745	0.895	2.000	0.899	1.798
0.746	0.896	2.000	0.900	1.800
0.747	0.897	2.000	0.901	1.803
0.748	0.898	2.000	0.903	1.805
0.749	0.899	2.000	0.904	1.808
0.750	0.900	2.000	0.905	1.810
0.751	0.901	2.000	0.906	1.812
0.752	0.902	2.000	0.907	1.815
0.753	0.903	2.000	0.909	1.817
0.754	0.904	2.000	0.910	1.820
0.755	0.905	2.000	0.911	1.822
0.756	0.905	2.000	0.912	1.825
0.757	0.906	2.000	0.913	1.827
0.758	0.907	2.000	0.915	1.829
0.759	0.908	2.000	0.916	1.832
0.760	0.909	2.000	0.917	1.834
0.761	0.910	2.000	0.918	1.837
0.762	0.911	2.000	0.920	1.839
0.763	0.912	2.000	0.921	1.841
0.764	0.913	2.000	0.922	1.844
0.765	0.914	2.000	0.923	1.846
0.766	0.914	2.000	0.924	1.849
0.767	0.915	2.000	0.926	1.851
0.768	0.916	2.000	0.927	1.854
0.769	0.917	2.000	0.928	1.856
0.770	0.918	2.000	0.929	1.858
0.771	0.919	2.000	0.930	1.861
0.772	0.920	2.000	0.932	1.863
0.773	0.920	2.000	0.933	1.866
0.774	0.921	2.000	0.934	1.868
0.775	0.922	2.000	0.935	1.870
0.776	0.923	2.000	0.936	1.873
0.777	0.924	2.000	0.938	1.875
0.778	0.925	2.000	0.939	1.878
0.779	0.925	2.000	0.940	1.880
0.780	0.926	2.000	0.941	1.883
0.781	0.927	2.000	0.942	1.885
0.782	0.928	2.000	0.944	1.887
0.783	0.929	2.000	0.945	1.890
0.784	0.929	2.000	0.946	1.892
0.785	0.930	2.000	0.947	1.895
0.786	0.931	2.000	0.949	1.897
0.787	0.932	2.000	0.950	1.899
0.788	0.932	2.000	0.951	1.902
0.789	0.933	2.000	0.952	1.904
0.790	0.934	2.000	0.953	1.907
0.791	0.935	2.000	0.955	1.909
0.792	0.935	2.000	0.956	1.912
0.793	0.936	2.000	0.957	1.914
0.794	0.937	2.000	0.958	1.916
0.795	0.938	2.000	0.959	1.919
0.796	0.938	2.000	0.961	1.921
0.797	0.939	2.000	0.962	1.924
0.798	0.940	2.000	0.963	1.926
0.799	0.940	2.000	0.964	1.928
0.800	0.941	2.000	0.965	1.931
0.801	0.942	2.000	0.967	1.933
0.802	0.942	2.000	0.968	1.936
0.803	0.943	2.000	0.969	1.938
0.804	0.944	2.000	0.970	1.941
0.805	0.944	2.000	0.971	1.943
0.806	0.945	2.000	0.973	1.945
0.807	0.946	2.000	0.974	1.948
0.808	0.946	2.000	0.975	1.950
0.809	0.947	2.000	0.976	1.953
0.810	0.948	2.000	0.978	1.955
0.811	0.948	2.000	0.979	1.957
0.812	0.949	2.000	0.980	1.960
0.813	0.950	2.000	0.981	1.962
0.814	0.950	2.000	0.982	1.965
0.815	0.951	2.000	0.984	1.967
0.816	0.952	2.000	0.985	1.970
0.817	0.952	2.000	0.986	1.972
0.818	0.953	2.000	0.987	1.974
0.819	0.953	2.000	0.988	1.977
0.820	0.954	2.000	0.990	1.979
0.821	0.955	2.000	0.991	1.982
0.822	0.955	2.000	0.992	1.984
0.823	0.956	2.000	0.993	1.986
0.824	0.956	2.000	0.994	1.989
0.825	0.957	2.000	0.996	1.991
0.826	0.957	2.000	0.997	1.994
0.827	0.958	2.000	0.998	1.996
0.828	0.959	2.000	0.999	1.999
0.829	0.959	2.000	1.000	2.001
0.830	0.960	2.000	1.002	2.003
0.831	0.960	2.000	1.003	2.006
0.832	0.961	2.000	1.004	2.008
0.833	0.961	2.000	1.005	2.011
0.834	0.962	2.000	1.007	2.013
0.835	0.962	2.000	1.008	2.015
0.836	0.963	2.000	1.009	2.018
0.837	0.963	2.000	1.010	2.020
0.838	0.964	2.000	1.011	2.023
0.839	0.964	2.000	1.013	2.025
0.840	0.965	2.000	1.014	2.028
0.841	0.965	2.000	1.015	2.030
0.842	0.966	2.000	1.016	2.032
0.843	0.966	2.000	1.017	2.035
0.844	0.967	2.000	1.019	2.037
0.845	0.967	2.000	1.020	2.040
0.846	0.968	2.000	1.021	2.042
0.847	0.968	2.000	1.022	2.044
0.848	0.969	2.000	1.023	2.047
0.849	0.969	2.000	1.025	2.049
0.850	0.970	2.000	1.026	2.052
0.851	0.970	2.000	1.027	2.054
0.852	0.971	2.000	1.028	2.057
0.853	0.971	2.000	1.029	2.059
0.854	0.972	2.000	1.031	2.061
0.855	0.972	2.000	1.032	2.064
0.856	0.972	2.000	1.033	2.066
0.857	0.973	2.000	1.034	2.069
0.858	0.973	2.000	1.036	2.071
0.859	0.974	2.000	1.037	2.073
0.860	0.974	2.000	1.038	2.076
0.861	0.975	2.000	1.039	2.078
0.862	0.975	2.000	1.040	2.081
0.863	0.975	2.000	1.042	2.083
0.864	0.976	2.000	1.043	2.086
0.865	0.976	2.000	1.044	2.088
0.866	0.977	2.000	1.045	2.090
0.867	0.977	2.000	1.046	2.093
0.868	0.977	2.000	1.048	2.095
0.869	0.978	2.000	1.049	2.098
0.870	0.978	2.000	1.050	2.100
0.871	0.978	2.000	1.051	2.102
0.872	0.979	2.000	1.052	2.105
0.873	0.979	2.000	1.054	2.107
0.874	0.980	2.000	1.055	2.110
0.875	0.980	2.000	1.056	2.112
0.876	0.980	2.000	1.057	2.115
0.877	0.981	2.000	1.058	2.117
0.878	0.981	2.000	1.060	2.119
0.879	0.981	2.000	1.061	2.122
0.880	0.982	2.000	1.062	2.124
0.881	0.982	2.000	1.063	2.127
0.882	0.982	2.000	1.065	2.129
0.883	0.983	2.000	1.066	2.131
0.884	0.983	2.000	1.067	2.134
0.885	0.983	2.000	1.068	2.136
0.886	0.984	2.000	1.069	2.139
0.887	0.984	2.000	1.071	2.141
0.888	0.984	2.000	1.072	2.144
0.889	0.985	2.000	1.073	2.146
0.890	0.985	2.000	1.074	2.148
0.891	0.985	2.000	1.075	2.151
0.892	0.986	2.000	1.077	2.153
0.893	0.986	2.000	1.078	2.156
0.894	0.986	2.000	1.079	2.158
0.895	0.986	2.000	1.080	2.160
0.896	0.987	2.000	1.081	2.163
0.897	0.987	2.000	1.083	2.165
0.898	0.987	2.000	1.084	2.168
0.899	0.988	2.000	1.085	2.170
0.900	0.988	2.000	1.086	2.173
0.901	0.988	2.000	1.087	2.175
0.902	0.988	2.000	1.089	2.177
0.903	0.989	2.000	1.090	2.180
0.904	0.989	2.000	1.091	2.182
0.905	0.989	2.000	1.092	2.185
0.906	0.989	2.000	1.094	2.187
0.907	0.990	2.000	1.095	2.189
0.908	0.990	2.000	1.096	2.192
0.909	0.990	2.000	1.097	2.194
0.910	0.990	2.000	1.098	2.197
0.911	0.991	2.000	1.100	2.199
0.912	0.991	2.000	1.101	2.202
0.913	0.991	2.000	1.102	2.204
0.914	0.991	2.000	1.103	2.206
0.915	0.991	2.000	1.104	2.209
0.916	0.992	2.000	1.106	2.211
0.917	0.992	2.000	1.107	2.214
0.918	0.992	2.000	1.108	2.216
0.919	0.992	2.000	1.109	2.218
0.920	0.992	2.000	1.110	2.221
0.921	0.993	2.000	1.112	2.223
0.922	0.993	2.000	1.113	2.226
0.923	0.993	2.000	1.114	2.228
0.924	0.993	2.000	1.115	2.231
0.925	0.993	2.000	1.116	2.233
0.926	0.994	2.000	1.118	2.235
0.927	0.994	2.000	1.119	2.238
0.928	0.994	2.000	1.120	2.240
0.929	0.994	2.000	1.121	2.243
0.930	0.994	2.000	1.123	2.245
0.931	0.995	2.000	1.124	2.247
0.932	0.995	2.000	1.125	2.250
0.933	0.995	2.000	1.126	2.252
0.934	0.995	2.000	1.127	2.255
0.935	0.995	2.000	1.129	2.257
0.936	0.995	2.000	1.130	2.260
0.937	0.995	2.000	1.131	2.262
0.938	0.996	2.000	1.132	2.264
0.939	0.996	2.000	1.133	2.267
0.940	0.996	2.000	1.135	2.269
0.941	0.996	2.000	1.136	2.272
0.942	0.996	2.000	1.137	2.274
0.943	0.996	2.000	1.138	2.276
0.944	0.996	2.000	1.139	2.279
0.945	0.997	2.000	1.141	2.281
0.946	0.997	2.000	1.142	2.284
0.947	0.997	2.000	1.143	2.286
0.948	0.997	2.000	1.144	2.289
0.949	0.997	2.000	1.145	2.291
0.950	0.997	2.000	1.147	2.293
0.951	0.997	2.000	1.148	2.296
0.952	0.997	2.000	1.149	2.298
0.953	0.998	2.000	1.150	2.301
0.954	0.998	2.000	1.152	2.303
0.955	0.998	2.000	1.153	2.305
0.956	0.998	2.000	1.154	2.308
0.957	0.998	2.000	1.155	2.310
0.958	0.998	2.000	1.156	2.313
0.959	0.998	2.000	1.158	2.315
0.960	0.998	2.000	1.159	2.318
0.961	0.998	2.000	1.160	2.320
0.962	0.998	2.000	1.161	2.322
0.963	0.999	2.000	1.162	2.325
0.964	0.999	2.000	1.164	2.327
0.965	0.999	2.000	1.165	2.330
0.966	0.999	2.000	1.166	2.332
0.967	0.999	2.000	1.167	2.334
0.968	0.999	2.000	1.168	2.337
0.969	0.999	2.000	1.170	2.339
0.970	0.999	2.000	1.171	2.342
0.971	0.999	2.000	1.172	2.344
0.972	0.999	2.000	1.173	2.347
0.973	0.999	2.000	1.174	2.349
0.974	0.999	2.000	1.176	2.351
0.975	0.999	2.000	1.177	2.354
0.976	0.999	2.000	1.178	2.356
0.977	0.999	2.000	1.179	2.359
0.978	0.999	2.000	1.181	2.361
0.979	1.000	2.000	1.182	2.363
0.980	1.000	2.000	1.183	2.366
0.981	1.000	2.000	1.184	2.368
0.982	1.000	2.000	1.185	2.371
0.983	1.000	2.000	1.187	2.373
0.984	1.000	2.000	1.188	2.376
0.985	1.000	2.000	1.189	2.378
0.986	1.000	2.000	1.190	2.380
0.987	1.000	2.000	1.191	2.383
0.988	1.000	2.000	1.193	2.385
0.989	1.000	2.000	1.194	2.388
0.990	1.000	2.000	1.195	2.390
0.991	1.000	2.000	1.196	2.392
0.992	1.000	2.000	1.197	2.395
0.993	1.000	2.000	1.199	2.397
0.994	1.000	2.000	1.200	2.400
0.995	1.000	2.000	1.201	2.402
0.996	1.000	2.000	1.202	2.405
0.997	1.000	2.000	1.203	2.407
0.998	1.000	2.000	1.205	2.409
0.999	1.000	2.000	1.206	2.412
1.000	1.000	2.000	1.207	2.414
